learner_id,session_id,profile,video_topic,video_length_minutes,question_id,question_type,question_difficulty,delay_condition,answer_correct,scored_value,response_time_seconds,question_skipped,video_completion_rate,pause_count,replay_count,skip_count,attention_noise_level,learner_status,expected_status
L0000,0,A,World,12.04333716913712,0,reasoning,hard,immediate,1.0,0.8940564716391214,16.50896482787213,0.0,0.9375225597903228,2,0,2,low,Stable Learner,Strong Retention
L0000,0,A,Cooking,8.403640235763262,1,factual_recall,hard,long_delay,1.0,0.6048964811346164,13.870037369008182,0.0,0.9375225597903228,2,0,2,low,Stable Learner,Strong Retention
L0000,0,A,Entertainment,9.685499620730615,2,factual_recall,hard,long_delay,1.0,0.6697820493137683,8.562830148467047,0.0,0.9375225597903228,2,3,2,low,Stable Learner,Strong Retention
L0000,0,A,Sports,9.324921558953662,3,comprehension,hard,short_delay,1.0,0.8127840403167286,13.475003136329995,0.0,0.9375225597903228,0,3,0,low,Stable Learner,Strong Retention
L0000,0,A,World,16.803865662532075,4,comprehension,hard,short_delay,1.0,0.7683757407656419,8.164469596684004,1.0,0.9375225597903228,2,2,0,low,Stable Learner,Strong Retention
L0000,0,A,Entertainment,11.883736633075099,5,factual_recall,medium,immediate,1.0,0.7983198842495711,15.51380120522909,0.0,0.9375225597903228,0,0,0,low,Stable Learner,Strong Retention
L0000,0,A,Cooking,12.066443092146988,6,factual_recall,hard,short_delay,1.0,0.714695607242642,11.800296356054988,0.0,0.9375225597903228,0,3,1,low,Stable Learner,Strong Retention
L0000,0,A,Entertainment,13.303691009869937,7,comprehension,medium,long_delay,1.0,0.8879397974862829,11.260550545818958,0.0,0.9375225597903228,1,2,0,low,Stable Learner,Strong Retention
L0000,0,A,Sports,8.218770092292939,8,reasoning,easy,short_delay,1.0,0.8777791935428949,9.276281822384234,0.0,0.9375225597903228,4,3,0,low,Stable Learner,Strong Retention
L0000,0,A,Sports,5.87454112533599,9,inference,easy,long_delay,1.0,0.8066030697561216,16.890165354696123,0.0,0.9375225597903228,1,1,1,low,Stable Learner,Strong Retention
L0001,1,A,Entertainment,9.589349362259787,0,comprehension,hard,short_delay,1.0,0.7690653460279762,13.786124704119777,0.0,0.9312795196983669,2,0,1,low,Stable Learner,Strong Retention
L0001,1,A,World,16.37779294752815,1,reasoning,hard,short_delay,1.0,0.8456775237557412,14.661540435891144,0.0,0.9312795196983669,2,1,1,low,Stable Learner,Strong Retention
L0001,1,A,News,14.7476990233223,2,factual_recall,medium,immediate,1.0,0.7338074058933349,11.606058061962306,0.0,0.9312795196983669,3,1,2,low,Stable Learner,Strong Retention
L0001,1,A,News,12.409862288667783,3,comprehension,easy,short_delay,1.0,0.7636946153434928,10.306806751823386,0.0,0.9312795196983669,0,2,0,low,Stable Learner,Strong Retention
L0001,1,A,News,7.558894528053291,4,factual_recall,easy,long_delay,1.0,0.7618262106001671,11.681127156374403,0.0,0.9312795196983669,4,2,1,low,Stable Learner,Strong Retention
L0001,1,A,Sports,13.863732372221252,5,reasoning,easy,immediate,1.0,0.6804160354410961,5.250662264167881,0.0,0.9312795196983669,4,1,1,low,Stable Learner,Strong Retention
L0001,1,A,Cooking,6.240949998836578,6,inference,easy,short_delay,1.0,0.8486972480785582,6.211550110307651,0.0,0.9312795196983669,3,1,1,low,Stable Learner,Strong Retention
L0001,1,A,World,13.57592078564113,7,factual_recall,medium,long_delay,1.0,0.7530597659797277,6.7092015505823905,0.0,0.9312795196983669,1,3,0,low,Stable Learner,Strong Retention
L0001,1,A,Cooking,11.5836719045757,8,factual_recall,easy,immediate,1.0,0.8012494118727688,8.011012689594073,0.0,0.9312795196983669,1,3,0,low,Stable Learner,Strong Retention
L0001,1,A,World,7.103736334979161,9,reasoning,medium,immediate,1.0,0.848074665890591,13.599096906893747,0.0,0.9312795196983669,0,2,2,low,Stable Learner,Strong Retention
L0002,2,A,News,8.614558625085271,0,inference,easy,immediate,1.0,0.8982739511023058,13.539803864423453,0.0,0.9065137260736443,0,3,2,low,Stable Learner,Strong Retention
L0002,2,A,News,7.6890246223660865,1,reasoning,medium,long_delay,1.0,0.7500704401460848,11.373448409367638,0.0,0.9065137260736443,4,0,0,low,Stable Learner,Strong Retention
L0002,2,A,Sports,16.661072573617663,2,reasoning,easy,long_delay,1.0,0.6815056233582976,11.836949895458265,0.0,0.9065137260736443,2,2,1,low,Stable Learner,Strong Retention
